Sample Name/Number;Species Name;Image File Name;Collection Date (DD/MM/YYYY);Sample Station;Location;Latitude;Longitude;Determiner;Sex;Other Notes;Max Feret Diameter;Perimeter;Area;Holes;Area+Holes;Exposure Time (µs);Framerate (FPS);Light Intensity (%);Aperture;Image Path;Operator Name;Date (DD/MM/YYYY HH:MM);ROI (left);ROI (top);ROI (right);ROI (bottom)
#0000_0;Test Sample;2_#0000_0_2021_09_23-15-43-10-792.PNG;24/06/2016;Station...;Location...;56.149375;10.212404;Name...;NaN;;672;3253;19563;3772;23335;2000;50;100;3,8;\images\Expo_2000_Ap_3.8\Test Sample\#0000\#0000_0;MRJ;23/09/2021 15:43:10;0;21;496;733
#0000_0;Test Sample;2_#0000_0_2021_09_23-15-43-10-851.PNG;24/06/2016;Station...;Location...;56.149375;10.212404;Name...;NaN;;685;3405;19929;3484;23413;2000;50;100;3,8;\images\Expo_2000_Ap_3.8\Test Sample\#0000\#0000_0;MRJ;23/09/2021 15:43:11;0;8;496;733
#0000_0;Test Sample;1_#0000_0_2021_09_23-15-43-11-261.PNG;24/06/2016;Station...;Location...;56.149375;10.212404;Name...;NaN;;80;224;604;0;604;2000;50;100;3,8;\images\Expo_2000_Ap_3.8\Test Sample\#0000\#0000_0;MRJ;23/09/2021 15:43:11;0;572;496;1068
#0000_0;Test Sample;2_#0000_0_2021_09_23-15-43-10-892.PNG;24/06/2016;Station...;Location...;56.149375;10.212404;Name...;NaN;;613;3641;19323;3136;22459;2000;50;100;3,8;\images\Expo_2000_Ap_3.8\Test Sample\#0000\#0000_0;MRJ;23/09/2021 15:43:11;0;82;496;733
#0000_0;Test Sample;1_#0000_0_2021_09_23-15-43-11-287.PNG;24/06/2016;Station...;Location...;56.149375;10.212404;Name...;NaN;;80;224;604;0;604;2000;50;100;3,8;\images\Expo_2000_Ap_3.8\Test Sample\#0000\#0000_0;MRJ;23/09/2021 15:43:11;0;572;496;1068
#0000_0;Test Sample;2_#0000_0_2021_09_23-15-43-10-940.PNG;24/06/2016;Station...;Location...;56.149375;10.212404;Name...;NaN;;653;3174;19529;3949;23478;2000;50;100;3,8;\images\Expo_2000_Ap_3.8\Test Sample\#0000\#0000_0;MRJ;23/09/2021 15:43:11;0;40;496;733
#0000_0;Test Sample;1_#0000_0_2021_09_23-15-43-11-311.PNG;24/06/2016;Station...;Location...;56.149375;10.212404;Name...;NaN;;127;467;1206;100;1306;2000;50;100;3,8;\images\Expo_2000_Ap_3.8\Test Sample\#0000\#0000_0;MRJ;23/09/2021 15:43:11;0;520;496;1016
#0000_0;Test Sample;2_#0000_0_2021_09_23-15-43-10-966.PNG;24/06/2016;Station...;Location...;56.149375;10.212404;Name...;NaN;;670;3325;19581;3847;23428;2000;50;100;3,8;\images\Expo_2000_Ap_3.8\Test Sample\#0000\#0000_0;MRJ;23/09/2021 15:43:11;0;23;496;733
#0000_0;Test Sample;1_#0000_0_2021_09_23-15-43-11-340.PNG;24/06/2016;Station...;Location...;56.149375;10.212404;Name...;NaN;;127;467;1206;100;1306;2000;50;100;3,8;\images\Expo_2000_Ap_3.8\Test Sample\#0000\#0000_0;MRJ;23/09/2021 15:43:12;0;520;496;1016
#0000_0;Test Sample;2_#0000_0_2021_09_23-15-43-11-009.PNG;24/06/2016;Station...;Location...;56.149375;10.212404;Name...;NaN;;584;3306;18891;3211;22102;2000;50;100;3,8;\images\Expo_2000_Ap_3.8\Test Sample\#0000\#0000_0;MRJ;23/09/2021 15:43:12;0;109;496;733
#0000_0;Test Sample;1_#0000_0_2021_09_23-15-43-11-368.PNG;24/06/2016;Station...;Location...;56.149375;10.212404;Name...;NaN;;628;3307;13666;1343;15009;2000;50;100;3,8;\images\Expo_2000_Ap_3.8\Test Sample\#0000\#0000_0;MRJ;23/09/2021 15:43:12;0;189;496;848
