Name;Species_Name;Image_File_Name;Collection_Date;Sample_Station;Location;Latitude;Longitude;Determiner;Sex;Other_Notes;Max_Feret_Diameter;Perimeter;Area;Holes;AreaHoles;Exposure_Time;Framerate;Light_Intensity;Aperture;Image_Path;Operator_Name;Date_of_processing_UTC;ROI_left;ROI_top;ROI_right;ROI_bottom;System_Serial;Bounding_Rect_Left;Bounding_Rect_Top;Bounding_Rect_Right;Bounding_Rect_Bottom;Center_of_Mass_X;Center_of_Mass_Y;Bounding_Ract_Width;Bounding_Rect_Height;Convex_Hull_Perimeter;Holes'_Perimeter;Equivalent_Ellipse_Major_Axis;Equivalent_Ellipse_Minor_Axis;Convex_Hull_Arear;Orientation;Max_Feret_Diameter_Orientation;Timestamp_from_Image_Snap
Demo_5;Demo;1_Demo_5_2024-10-29-12-05-34-337.PNG;24/06/2016;Station...;Location...;56.149375;10.212404;Name...;NaN;;510;1428;13194;376;13570;2000;50;100;8;/images/Pending/Expo_2000_Ap_8/Demo/Demo/Demo_5;JDB;29/10/2024 11:05;0;0;456;507;1.2-01-07.21;308;0;365;507;332;231;57;507;1049;543;642;26;16466;86;84;2024-10-29-12-05-34-337
Demo_5;Demo;2_Demo_5_2024-10-29-12-05-34-338.PNG;24/06/2016;Station...;Location...;56.149375;10.212404;Name...;NaN;;559;1184;26473;19;26492;2000;50;100;8;/images/Pending/Expo_2000_Ap_8/Demo/Demo/Demo_5;JDB;29/10/2024 11:05;0;0;456;555;1.2-01-07.21;148;0;226;555;183;241;78;555;1174;23;529;64;27189;86;83;2024-10-29-12-05-34-338
Demo_5;Demo;1_Demo_5_2024-10-29-12-05-34-357.PNG;24/06/2016;Station...;Location...;56.149375;10.212404;Name...;NaN;;510;1428;13194;376;13570;2000;50;100;8;/images/Pending/Expo_2000_Ap_8/Demo/Demo/Demo_5;JDB;29/10/2024 11:05;0;0;456;507;1.2-01-07.21;308;0;365;507;332;231;57;507;1049;543;642;26;16466;86;84;2024-10-29-12-05-34-357
Demo_5;Demo;2_Demo_5_2024-10-29-12-05-34-360.PNG;24/06/2016;Station...;Location...;56.149375;10.212404;Name...;NaN;;619;1297;29738;21;29759;2000;50;100;8;/images/Pending/Expo_2000_Ap_8/Demo/Demo/Demo_5;JDB;29/10/2024 11:05;0;0;456;615;1.2-01-07.21;150;0;229;615;185;271;79;615;1294;20;580;65;30492;86;84;2024-10-29-12-05-34-360
Demo_5;Demo;1_Demo_5_2024-10-29-12-05-34-377.PNG;24/06/2016;Station...;Location...;56.149375;10.212404;Name...;NaN;;640;2043;18405;688;19093;2000;50;100;8;/images/Pending/Expo_2000_Ap_8/Demo/Demo/Demo_5;JDB;29/10/2024 11:05;0;0;456;637;1.2-01-07.21;304;0;369;637;331;287;65;637;1325;861;919;25;22970;87;85;2024-10-29-12-05-34-377
Demo_5;Demo;2_Demo_5_2024-10-29-12-05-34-378.PNG;24/06/2016;Station...;Location...;56.149375;10.212404;Name...;NaN;;665;1399;32119;30;32149;2000;50;100;8;/images/Pending/Expo_2000_Ap_8/Demo/Demo/Demo_5;JDB;29/10/2024 11:05;0;0;456;661;1.2-01-07.21;146;0;228;661;183;293;82;661;1387;14;626;65;33065;86;84;2024-10-29-12-05-34-378
Demo_5;Demo;1_Demo_5_2024-10-29-12-05-34-397.PNG;24/06/2016;Station...;Location...;56.149375;10.212404;Name...;NaN;;686;1621;19642;2469;22111;2000;50;100;8;/images/Pending/Expo_2000_Ap_8/Demo/Demo/Demo_5;JDB;29/10/2024 11:05;0;0;456;683;1.2-01-07.21;289;0;359;683;319;308;70;683;1417;1602;729;34;25172;86;85;2024-10-29-12-05-34-397
Demo_5;Demo;2_Demo_5_2024-10-29-12-05-34-399.PNG;24/06/2016;Station...;Location...;56.149375;10.212404;Name...;NaN;;698;1460;34024;23;34047;2000;50;100;8;/images/Pending/Expo_2000_Ap_8/Demo/Demo/Demo_5;JDB;29/10/2024 11:05;0;0;456;694;1.2-01-07.21;144;0;228;694;181;309;84;694;1454;12;654;66;34880;86;84;2024-10-29-12-05-34-399
Demo_5;Demo;1_Demo_5_2024-10-29-12-05-34-418.PNG;24/06/2016;Station...;Location...;56.149375;10.212404;Name...;NaN;;719;2859;21862;867;22729;2000;50;100;8;/images/Pending/Expo_2000_Ap_8/Demo/Demo/Demo_5;JDB;29/10/2024 11:05;0;0;456;716;1.2-01-07.21;282;0;359;716;316;334;77;716;1486;1136;1287;22;29343;86;85;2024-10-29-12-05-34-418
Demo_5;Demo;2_Demo_5_2024-10-29-12-05-34-420.PNG;24/06/2016;Station...;Location...;56.149375;10.212404;Name...;NaN;;726;1521;35337;27;35364;2000;50;100;8;/images/Pending/Expo_2000_Ap_8/Demo/Demo/Demo_5;JDB;29/10/2024 11:05;0;0;456;722;1.2-01-07.21;154;0;238;722;192;322;84;722;1507;18;681;66;36229;86;84;2024-10-29-12-05-34-420
Demo_5;Demo;1_Demo_5_2024-10-29-12-05-34-438.PNG;24/06/2016;Station...;Location...;56.149375;10.212404;Name...;NaN;;747;2543;22967;1485;24452;2000;50;100;8;/images/Pending/Expo_2000_Ap_8/Demo/Demo/Demo_5;JDB;29/10/2024 11:05;0;0;456;744;1.2-01-07.21;290;0;363;744;321;335;73;744;1538;1446;1144;26;29667;87;85;2024-10-29-12-05-34-438
Demo_5;Demo;2_Demo_5_2024-10-29-12-05-34-440.PNG;24/06/2016;Station...;Location...;56.149375;10.212404;Name...;NaN;;744;1554;36165;40;36205;2000;50;100;8;/images/Pending/Expo_2000_Ap_8/Demo/Demo/Demo_5;JDB;29/10/2024 11:05;0;0;456;741;1.2-01-07.21;163;0;247;741;200;332;84;741;1547;26;696;66;37003;87;84;2024-10-29-12-05-34-440
Demo_5;Demo;1_Demo_5_2024-10-29-12-05-34-458.PNG;24/06/2016;Station...;Location...;56.149375;10.212404;Name...;NaN;;767;2588;24735;1773;26508;2000;50;100;8;/images/Pending/Expo_2000_Ap_8/Demo/Demo/Demo_5;JDB;29/10/2024 11:05;0;0;456;764;1.2-01-07.21;289;0;367;764;324;360;78;764;1578;1677;1165;27;31793;86;85;2024-10-29-12-05-34-458
Demo_5;Demo;2_Demo_5_2024-10-29-12-05-34-460.PNG;24/06/2016;Station...;Location...;56.149375;10.212404;Name...;NaN;;758;1583;36935;29;36964;2000;50;100;8;/images/Pending/Expo_2000_Ap_8/Demo/Demo/Demo_5;JDB;29/10/2024 11:05;0;0;456;754;1.2-01-07.21;165;0;250;754;203;338;85;754;1573;12;709;66;37855;87;84;2024-10-29-12-05-34-460
Demo_5;Demo;1_Demo_5_2024-10-29-12-05-34-478.PNG;24/06/2016;Station...;Location...;56.149375;10.212404;Name...;NaN;;779;2860;26258;1563;27821;2000;50;100;8;/images/Pending/Expo_2000_Ap_8/Demo/Demo/Demo_5;JDB;29/10/2024 11:05;0;0;456;776;1.2-01-07.21;305;0;384;776;340;363;79;776;1604;1653;1287;26;32290;86;85;2024-10-29-12-05-34-478
Demo_5;Demo;2_Demo_5_2024-10-29-12-05-34-479.PNG;24/06/2016;Station...;Location...;56.149375;10.212404;Name...;NaN;;773;1619;37645;10;37655;2000;50;100;8;/images/Pending/Expo_2000_Ap_8/Demo/Demo/Demo_5;JDB;29/10/2024 11:05;0;0;456;770;1.2-01-07.21;176;0;260;770;215;345;84;770;1604;13;726;66;38852;87;85;2024-10-29-12-05-34-479
Demo_5;Demo;1_Demo_5_2024-10-29-12-05-34-497.PNG;24/06/2016;Station...;Location...;56.149375;10.212404;Name...;NaN;;795;2285;28792;2229;31021;2000;50;100;8;/images/Pending/Expo_2000_Ap_8/Demo/Demo/Demo_5;JDB;29/10/2024 11:05;0;0;456;792;1.2-01-07.21;327;0;405;792;361;361;78;792;1631;2410;1028;36;33572;87;85;2024-10-29-12-05-34-497
Demo_5;Demo;2_Demo_5_2024-10-29-12-05-34-499.PNG;24/06/2016;Station...;Location...;56.149375;10.212404;Name...;NaN;;785;1638;38015;24;38039;2000;50;100;8;/images/Pending/Expo_2000_Ap_8/Demo/Demo/Demo_5;JDB;29/10/2024 11:05;0;0;456;782;1.2-01-07.21;189;0;273;782;227;351;84;782;1629;7;734;66;39036;87;85;2024-10-29-12-05-34-499
Demo_5;Demo;1_Demo_5_2024-10-29-12-05-34-516.PNG;24/06/2016;Station...;Location...;56.149375;10.212404;Name...;NaN;;807;1974;28767;2655;31422;2000;50;100;8;/images/Pending/Expo_2000_Ap_8/Demo/Demo/Demo_5;JDB;29/10/2024 11:05;0;0;456;804;1.2-01-07.21;322;0;401;804;356;369;79;804;1658;2823;888;41;33631;87;85;2024-10-29-12-05-34-516
Demo_5;Demo;2_Demo_5_2024-10-29-12-05-34-518.PNG;24/06/2016;Station...;Location...;56.149375;10.212404;Name...;NaN;;794;1657;38304;19;38323;2000;50;100;8;/images/Pending/Expo_2000_Ap_8/Demo/Demo/Demo_5;JDB;29/10/2024 11:05;0;0;456;791;1.2-01-07.21;194;0;279;791;233;356;85;791;1643;19;743;66;39269;87;85;2024-10-29-12-05-34-518
Demo_5;Demo;1_Demo_5_2024-10-29-12-05-34-536.PNG;24/06/2016;Station...;Location...;56.149375;10.212404;Name...;NaN;;817;1919;29147;3757;32904;2000;50;100;8;/images/Pending/Expo_2000_Ap_8/Demo/Demo/Demo_5;JDB;29/10/2024 11:05;0;0;456;814;1.2-01-07.21;311;0;393;814;347;370;82;814;1680;3342;863;43;35283;86;85;2024-10-29-12-05-34-536
Demo_5;Demo;2_Demo_5_2024-10-29-12-05-34-538.PNG;24/06/2016;Station...;Location...;56.149375;10.212404;Name...;NaN;;801;1666;38671;40;38711;2000;50;100;8;/images/Pending/Expo_2000_Ap_8/Demo/Demo/Demo_5;JDB;29/10/2024 11:05;0;0;456;798;1.2-01-07.21;206;0;291;798;245;360;85;798;1659;20;747;66;39670;87;85;2024-10-29-12-05-34-538
Demo_5;Demo;1_Demo_5_2024-10-29-12-05-34-556.PNG;24/06/2016;Station...;Location...;56.149375;10.212404;Name...;NaN;;825;1876;26985;6895;33880;2000;50;100;8;/images/Pending/Expo_2000_Ap_8/Demo/Demo/Demo_5;JDB;29/10/2024 11:05;0;0;456;822;1.2-01-07.21;302;0;387;822;340;367;85;822;1702;3230;844;41;36219;86;85;2024-10-29-12-05-34-556
Demo_5;Demo;2_Demo_5_2024-10-29-12-05-34-557.PNG;24/06/2016;Station...;Location...;56.149375;10.212404;Name...;NaN;;790;1643;37767;24;37791;2000;50;100;8;/images/Pending/Expo_2000_Ap_8/Demo/Demo/Demo_5;JDB;29/10/2024 11:05;0;0;456;787;1.2-01-07.21;223;0;306;787;260;356;83;787;1638;12;737;65;38760;87;85;2024-10-29-12-05-34-557
Demo_5;Demo;1_Demo_5_2024-10-29-12-05-34-576.PNG;24/06/2016;Station...;Location...;56.149375;10.212404;Name...;NaN;;813;1943;24631;8759;33390;2000;50;100;8;/images/Pending/Expo_2000_Ap_8/Demo/Demo/Demo_5;JDB;29/10/2024 11:05;0;0;456;810;1.2-01-07.21;303;0;387;810;341;366;84;810;1676;2672;874;36;35512;86;85;2024-10-29-12-05-34-576
Demo_5;Demo;2_Demo_5_2024-10-29-12-05-34-577.PNG;24/06/2016;Station...;Location...;56.149375;10.212404;Name...;NaN;;750;1559;35306;15;35321;2000;50;100;8;/images/Pending/Expo_2000_Ap_8/Demo/Demo/Demo_5;JDB;29/10/2024 11:05;0;0;456;747;1.2-01-07.21;221;0;304;747;258;334;83;747;1555;6;699;64;36044;87;85;2024-10-29-12-05-34-577
Demo_5;Demo;1_Demo_5_2024-10-29-12-05-34-597.PNG;24/06/2016;Station...;Location...;56.149375;10.212404;Name...;NaN;;772;1706;27453;4040;31493;2000;50;100;8;/images/Pending/Expo_2000_Ap_8/Demo/Demo/Demo_5;JDB;29/10/2024 11:05;0;0;456;769;1.2-01-07.21;315;0;396;769;350;347;81;769;1594;3424;767;46;33183;86;85;2024-10-29-12-05-34-597
Demo_5;Demo;2_Demo_5_2024-10-29-12-05-34-598.PNG;24/06/2016;Station...;Location...;56.149375;10.212404;Name...;NaN;;692;1445;32299;14;32313;2000;50;100;8;/images/Pending/Expo_2000_Ap_8/Demo/Demo/Demo_5;JDB;29/10/2024 11:05;0;0;456;688;1.2-01-07.21;217;0;300;688;254;305;83;688;1437;13;647;64;33224;86;84;2024-10-29-12-05-34-598
Demo_5;Demo;1_Demo_5_2024-10-29-12-05-34-617.PNG;24/06/2016;Station...;Location...;56.149375;10.212404;Name...;NaN;;713;2791;26539;754;27293;2000;50;100;8;/images/Pending/Expo_2000_Ap_8/Demo/Demo/Demo_5;JDB;29/10/2024 11:05;0;0;456;710;1.2-01-07.21;329;0;406;710;362;316;77;710;1476;1066;1256;27;29594;86;85;2024-10-29-12-05-34-617
Demo_5;Demo;2_Demo_5_2024-10-29-12-05-34-619.PNG;24/06/2016;Station...;Location...;56.149375;10.212404;Name...;NaN;;620;1302;28675;15;28690;2000;50;100;8;/images/Pending/Expo_2000_Ap_8/Demo/Demo/Demo_5;JDB;29/10/2024 11:05;0;0;456;616;1.2-01-07.21;211;0;293;616;247;270;82;616;1295;18;583;63;29540;86;84;2024-10-29-12-05-34-619
Demo_5;Demo;1_Demo_5_2024-10-29-12-05-34-637.PNG;24/06/2016;Station...;Location...;56.149375;10.212404;Name...;NaN;;641;1581;23271;1365;24636;2000;50;100;8;/images/Pending/Expo_2000_Ap_8/Demo/Demo/Demo_5;JDB;29/10/2024 11:05;0;0;456;638;1.2-01-07.21;327;0;400;638;358;281;73;638;1328;1816;710;42;25844;86;84;2024-10-29-12-05-34-637
Demo_5;Demo;2_Demo_5_2024-10-29-12-05-34-638.PNG;24/06/2016;Station...;Location...;56.149375;10.212404;Name...;NaN;;532;1127;24327;20;24347;2000;50;100;8;/images/Pending/Expo_2000_Ap_8/Demo/Demo/Demo_5;JDB;29/10/2024 11:05;0;0;456;528;1.2-01-07.21;196;0;275;528;231;229;79;528;1121;3;504;61;24830;85;83;2024-10-29-12-05-34-638
Demo_5;Demo;1_Demo_5_2024-10-29-12-05-34-656.PNG;24/06/2016;Station...;Location...;56.149375;10.212404;Name...;NaN;;548;1528;11280;172;11452;2000;50;100;8;/images/Pending/Expo_2000_Ap_8/Demo/Demo/Demo_5;JDB;29/10/2024 11:05;0;0;456;545;1.2-01-07.21;297;0;360;545;327;259;63;545;1122;242;688;21;15538;85;84;2024-10-29-12-05-34-656
