Sample Name/Number;Species Name;Collection Date (DD/MM/YYYY);Sample Station;Location;Latitude;Longitude;Determiner;Sex;Other Notes;Max Feret Diameter (max);Max Feret Diameter (mean);Max Feret Diameter (std. dev.);Perimeter (mean);Perimeter (std. dev.);Area (mean);Area(std. dev.);Holes (mean);Holes (std. dev.);Area+Holes (mean);Area+Holes (std. dev.);Exposure Time (µs);Framerate (FPS);Light Intensity (%);Aperture;Image Path;Operator Name;Date (DD/MM/YYYY HH:MM)
#0000_1;Test Sample;24/06/2016;Station...;Location...;56.149375;10.212404;Name...;NaN;;469;212;164;923;996;3373;4208;400;580;3774;4780;1000;100;100;3,8;\images\Expo_1000_Ap_3.8\Test Sample\#0000\#0000_1;MRJ;23/09/2021 15:50:41
#0000_2;Test Sample;24/06/2016;Station...;Location...;56.149375;10.212404;Name...;NaN;;621;259;154;1244;808;6411;5140;658;605;7068;5723;1000;100;100;3,8;\images\Expo_1000_Ap_3.8\Test Sample\#0000\#0000_2;MRJ;23/09/2021 15:50:59
#0000_3;Test Sample;24/06/2016;Station...;Location...;56.149375;10.212404;Name...;NaN;;99;91;5;190;11;608;54;0;1;608;53;1000;100;100;3,8;\images\Expo_1000_Ap_3.8\Test Sample\#0000\#0000_3;MRJ;23/09/2021 15:51:09
#0000_4;Test Sample;24/06/2016;Station...;Location...;56.149375;10.212404;Name...;NaN;;809;182;175;719;977;3646;6468;282;570;3927;7022;1000;100;100;3,8;\images\Expo_1000_Ap_3.8\Test Sample\#0000\#0000_4;MRJ;23/09/2021 15:56:35
#0001_1;Test Sample;24/06/2016;Station...;Location...;56.149375;10.212404;Name...;NaN;;728;165;151;653;774;4244;5594;265;528;4510;6086;1000;100;100;3,8;\images\Expo_1000_Ap_3.8\Test Sample\#0001\#0001_1;MRJ;23/09/2021 15:57:22
#0000_1;Test Sample;24/06/2016;Station...;Location...;56.149375;10.212404;Name...;NaN;;291;291;2147483647;847;2147483647;30275;2147483647;40;2147483647;30315;2147483647;2000;50;100;8;\images\Expo_2000_Ap_8\Test Sample\#0000\#0000_1;MRJ;04/04/2022 14:56:44
#0000_2;Test Sample;24/06/2016;Station...;Location...;56.149375;10.212404;Name...;NaN;;491;336;100;873;291;39688;29673;187;195;39875;29658;2000;50;100;8;\images\Expo_2000_Ap_8\Test Sample\#0000\#0000_2;MRJ;04/04/2022 14:57:14
#0000_3;Test Sample;24/06/2016;Station...;Location...;56.149375;10.212404;Name...;NaN;;655;325;142;773;373;20157;13079;135;120;20292;13171;2000;50;100;8;\images\Expo_2000_Ap_8\Test Sample\#0000\#0000_3;MRJ;04/04/2022 15:07:57
#0000_3;Test Sample;24/06/2016;Station...;Location...;56.149375;10.212404;Name...;NaN;;392;295;66;767;261;16057;9485;168;189;16225;9637;2000;50;100;8;\images\Expo_2000_Ap_8\Test Sample\#0000\#0000_3;MRJ;04/04/2022 15:09:03
#0000_4;Test Sample;24/06/2016;Station...;Location...;56.149375;10.212404;Name...;NaN;;537;509;15;1701;96;46502;7770;696;917;47198;7776;2000;50;100;8;\images\Expo_2000_Ap_8\Test Sample\#0000\#0000_4;MRJ;06/04/2022 08:21:35
